"origin_state","destination_state","total_tons","total_value","value_per_ton"
56,10,"0.000851","1.036316","1217.76"
2,16,"2.917915","2319.803717","795.02"
10,46,"0.110803","79.499310","717.48"
33,56,"0.055834","33.793157","605.24"
25,56,"2.864144","1100.729889","384.31"
2,47,"4.427225","1697.687625","383.47"
10,2,"0.326872","82.599290","252.70"
21,2,"7.103032","1742.608108","245.33"
2,32,"2.114827","477.760483","225.91"
2,18,"0.732816","152.927049","208.68"
33,46,"0.068640","12.626176","183.95"
2,49,"4.723279","868.079313","183.79"
15,54,"0.006077","1.066872","175.56"
44,56,"0.093404","15.767073","168.81"
36,2,"6.217542","959.610754","154.34"
11,47,"3.942910","599.417508","152.02"
2,34,"1.349554","185.292044","137.30"
35,44,"0.032459","4.309364","132.76"
47,2,"5.551699","728.405357","131.20"
50,21,"2.942894","375.078575","127.45"
25,15,"12.104739","1448.322159","119.65"
8,10,"0.515088","61.201137","118.82"
10,16,"0.128200","13.890791","108.35"
12,11,"7.159313","702.581463","98.14"
44,30,"0.201822","19.739234","97.81"
11,55,"0.912982","88.410963","96.84"
46,11,"0.049950","4.626224","92.62"
11,21,"3.065004","282.654980","92.22"
2,28,"0.493495","44.993312","91.17"
10,4,"9.997726","848.446235","84.86"
32,50,"0.267201","22.627400","84.68"
8,2,"9.065019","756.848668","83.49"
2,20,"0.927510","77.138624","83.17"
13,2,"13.433608","1084.467104","80.73"
23,2,"0.301551","23.842760","79.07"
33,15,"0.262077","20.365926","77.71"
2,21,"1.249327","95.027032","76.06"
2,42,"2.148731","160.775736","74.82"
2,50,"0.176324","13.096097","74.27"
9,11,"3.726991","275.314186","73.87"
4,2,"7.452363","541.520411","72.66"
32,10,"0.993172","71.065535","71.55"
20,2,"1.289842","91.558288","70.98"
42,2,"17.510200","1237.889290","70.70"
37,2,"7.530025","521.234858","69.22"
31,11,"0.422117","27.807782","65.88"
2,10,"0.756147","49.509921","65.48"
10,32,"1.339635","85.016085","63.46"
11,54,"2.071235","123.494447","59.62"
2,44,"0.098587","5.851577","59.35"
2,33,"0.689283","40.782129","59.17"
50,20,"3.977704","228.752299","57.51"
32,21,"5.819813","334.654621","57.50"
4,50,"1.468658","80.100322","54.54"
4,33,"4.950750","268.725898","54.28"
17,2,"8.161847","437.608458","53.62"
2,4,"5.113751","273.471938","53.48"
44,46,"1.099168","58.358698","53.09"
50,15,"0.066431","3.467356","52.19"
