"destination_state","total_tons_2024","total_value_2024"
48,"3056181.844395","2420859.863094"
6,"1217967.381216","1964572.088215"
22,"1061451.426158","433933.326172"
17,"949957.162999","958578.086825"
12,"831562.147421","857250.286903"
39,"723123.271657","712467.871152"
42,"590921.614023","688725.269709"
18,"587312.052368","517568.862230"
26,"581199.052437","721286.574556"
36,"574010.660258","822078.802138"
27,"562362.778761","328266.828566"
13,"522733.368655","613711.621201"
53,"517601.167134","398229.630739"
55,"453046.913323","356987.188798"
19,"447476.243632","225505.832151"
1,"427681.622942","293356.175134"
51,"419664.732029","355046.402719"
37,"414615.798014","481209.015576"
47,"405633.302082","477369.332868"
34,"380351.072389","541557.134792"
29,"336319.341988","295751.019997"
21,"323593.483050","357812.408803"
31,"317695.868510","148004.919808"
28,"313515.058502","193474.733791"
40,"309658.937767","203250.399338"
20,"305494.646427","202935.214501"
45,"264511.197243","279210.203145"
41,"249081.625893","197465.241124"
5,"245729.346413","147253.907886"
24,"224271.261712","249108.416876"
8,"223708.238096","220270.963261"
4,"216492.753325","256910.205630"
38,"209378.444266","83873.276921"
25,"190085.156514","305176.497874"
35,"160483.773079","104708.691481"
49,"154928.510226","157625.910772"
54,"139874.050101","76641.927301"
46,"136670.590093","58249.648753"
16,"135252.527676","81525.028871"
9,"129101.904908","178505.282335"
32,"108697.500671","120411.728567"
30,"101382.925452","58709.102018"
56,"86710.797813","37048.163360"
23,"72433.135856","57594.961725"
33,"62878.749716","74675.327169"
10,"46119.867145","56519.996001"
15,"37680.125056","44501.722530"
44,"34197.454173","42716.888676"
2,"30419.849030","43545.484492"
50,"23715.359908","30256.153990"
11,"9607.548852","24992.969699"
