year,origin,destination,total_tons
2018,48,48,2342170.093
2018,6,6,1085694.991
2018,12,12,630866.8902
2018,22,22,605340.2915
2018,17,17,562944.8213
2019,48,48,2407951.71
2019,6,6,1067049.69
2019,12,12,630139.598
2019,22,22,600230.019
2019,17,17,533436.826
2020,48,48,2281856.55
2020,6,6,1004843.93
2020,12,12,619548.8747
2020,22,22,537865.137
2020,17,17,530997.072
2021,48,48,2361502.359
2021,6,6,1047266.932
2021,12,12,638324.0301
2021,22,22,551573.4328
2021,17,17,539180.7821
2022,48,48,2411500.98
2022,6,6,1028531.759
2022,12,12,666967.4216
2022,22,22,641436.8597
2022,17,17,541078.0772
2023,48,48,2469681.255
2023,6,6,1003236.339
2023,12,12,653078.4285
2023,22,22,624667.5602
2023,17,17,546175.7908
2024,48,48,2489296.167
2024,6,6,998788.8721
2024,12,12,663370.0755
2024,22,22,606517.361
2024,17,17,550264.9523
